,idx,class,conversation
81,81,직장 내 괴롭힘 대화,"김대리는 어떻게 커피 하나를 못 타나?
내가 물을 많이 넣으랬지. 누가 한강물로 만들랬어?
뭘 다시 타와? 그냥 마시면 되지. 누굴 나쁜 놈 만들라고 작정했네.
그 죄송합니다 소리 좀 그만해. 아주 내가 괴롭히는 줄 알겠어?
네? 내가 괴롭혀? 자기야 말 좀 해봐.
생긴대로 논다고. 아 짜증나. 누가 뽑았어 저런 새끼를."
82,82,직장 내 괴롭힘 대화,"왜 불러?
안돼 한참 바쁠땐데
신규가 무슨 연차를 써. 눈치도 더럽게 없어가지고.
아니 내가 말을 안하려고 했는데. 씨는 일 너무못해. 
못생겼으면 일이라도 잘 해야지."
83,83,직장 내 괴롭힘 대화,"하사원 여기 놀러왓냐
이것밖에 못햇냐
월급만 축내네 진짜
그냥 낼 부터 나오지마
내가 알바 아니구"
84,84,갈취 대화," 야 뒤져
 장난쳐? 놀러오면서 이거밖에 안가져왔다고?
 정말이에요. 가방을 숙소에 두고왔어요.
 좋게 가려면 솔직히 말해라.
 아 오늘 잡쳤네. 야 이거 두고 빨리 꺼져."
85,85,갈취 대화,"뭐 새끼야 애초에 돈을 빌렸으면 돈 주인 말대로 해야지
야 넌 돈이 우습냐 죽고 싶어? 막 빌리면 막 이자도 올리는거지
나중에라도 돈을 입금하는게 좋을거야
약골이 까부네 혼나볼래?
넌 이자가 두 배로 늘어날줄 알아"
86,86,직장 내 괴롭힘 대화,"야 이 새끼야. 이번 일 잘못되면 다 너때문이야 알겠어?
과해? 이게 과해? 이 새끼가 오냐오냐해줬더니 왜 이렇게 기어올라 ?
가지가지 하네. 니 말은 나도 잘못했으니 그냥 입닥치라 이거냐? 골때리는 새끼네.
니가 회사에 도움이 된다고 생각하냐? 그냥 시키는 일이나 똑바로하고 옆에 찌그러져 있으라고. 아오 진짜 
너는 우리나라 법도 부당하면 국회가서 따질래? 이 새끼가 대가리에 똥이 찼나. 그냥 사리고 알겠습니다 하고 끝내면 될 것을 . 
니 돈나가냐? 어? 뒷 일은 알아서 위에서 할 건데 왜 나대냐고 그러니까 ."
87,87,직장 내 괴롭힘 대화,"과장님 다음주에 여름휴가 사용해도 될까요?
그러면 다다음주에는 가능할까요?
저도 가족들이랑 휴가 잠깐 다녀오고 싶어서요.
다른 분들은 다들 갔다오셨구 제가 맡고 일은 이번주에 다 끝낼 수 있어서 말씀드립니다.
혹시 나중 언제쓰면 될까요?"
88,88,협박 대화,"너 하나밖에 없는 아들 잘생겼네. 이제 하나뿐인 아들도 곧 못볼텐데 인사하고 싶으면 해
너가 살던 죽던 내 알바 아니잖아 내가 필요한건 그냥 니 아들이야
내가 너 딱해서 한 번 기회 주는거야. 역 물품보관소 가면 서류들 있을거야 그 서류 내가 보내는 장소로 가져다 놔
경찰에 신고하면 어떻게 되는지 알지?
하라는 대로만 하면 아들도 풀어주고 다 할게 근데 신고하면 니 아들 목숨 네 목숨까지 끊어버려서 세상에서 존재안하 게 만들거야"
89,89,갈취 대화,"야 꼬마
그래 너
왜요? 말 다 했냐 지금. 나보다 어린거 같은데 말하는 싸가지 하고는
지금 가진 돈 얼마야
무슨 소리야. 사람이 밖에 다니는데 천원 한장도 안 갖고다녀?! 
어딜 가 가긴 나한테 돈 주기 전까지는 못 가! 가방이나 주머니 뒤졌을때마다 돈 나오면 한 대씩이다. 알았냐?"
90,90,직장 내 괴롭힘 대화,"야 김대리 너 커피 안타오고 뭐해?
장난쳐? 커피 다 식었잖아
야 됐고 그냥 밖에 나가서 라떼로 사와
네 돈으로 사와 임마"
91,91,갈취 대화,"거기 학생들 스톱
어 그래. 너네 여기 학교 다니지?
나도 여기 나온 선밴데 선배를 위해 기부 좀 해라.
야 맞고 줄래 그냥 줄래?
그래? 그럼 너네 앞으로 학교 생활 기대해라. 내가 아는 후배들한테 잘 얘기해놓을테니까.
야 처음부터 이랬으면 얼마나 좋냐?"
92,92,직장 내 괴롭힘 대화,"인수인계 들었는데. 어. 약물 속도는 제 프리셉터 선생님이. 설명해주신바로. 저렇게 하라고 하셨어요.
아니 바쁘셔서 그런지. 책 보고 알아서 하라 그래서 책 보고 최대한 아는 대로 한겁니다.
네 맞는데요 왜 그러시죠?
그런 적 없는데요. 자기가 괜히 잘못해놓고 제 탓 하는건가보죠. 그리고 저 신규간호사 일도 제대로 못 하고 아는것도 하나도 없어서 가르칠맛이 안나요. 한 번 한 달간 굴려봐야 정신차리나.
좀 억울한게 이번에 프리셉터 선생님 배정받고 뭐 설명듣고 배운거 하나도 없어요. 가르쳐주시지도 않았고 간호사 됐으면 알아서 다 하라고 하셨어요. 다른 동기들 프리셉터 분들은 다 차근차근 설명해주시는데 제 프리셉터분은 너 혼자 해라 매일 이런식이었어요."
93,93,직장 내 괴롭힘 대화,"어이 김대리! 이리 좀 와봐!
 여기 이 파일들 내일까지 정리해와.
 내 처남인 박대리가 어제 과음해서 힘들다잖아! 김대리가 좀 해와.
 상사의 지시를 듣지 않는거야?
 그럼 잔말말고 정리 해와!"
94,94,기타 괴롭힘 대화,"야 니 왤캐 못생겼냐?
으 나 보고 말하지마 니 얼굴보면 토나올거 같어
우웩 맷돼지가 말을하네 니 그얼굴로 다니면 안쪽팔리냐?
난 사실을 말한것 뿐이잖아 내가 뭐 틀린말 했니?
내가 니 얼굴이였으면 난 그냥 안살았을듯 니 참 대단하다 "
95,95,직장 내 괴롭힘 대화,"부장님 내일은 휴가를 내도 괜찮나요?
네? 지금 뭐라고 하셨어요?
지금 여기 재밌는 상황이 나오네
아니 생리는 생리현상 아닌가? 그게 창피한건가?"
96,96,갈취 대화,"우와 이거 예쁘다. 머야 이거?
우와 예쁘다 민지야 이거 하루만 빌려주라 나 데이트할 때 하루만 쓰자
친구 좋다는게 머냐 한 번만 빌리자.
머? 그래서 안된다고? 나 오빠랑 데이트 해야한다니까
아니 그럼 데이트 하는 날 아침에 빌려줘 그럼되잖아 그건 어려운거 아니지? 쓰고 월요일날 학교에서 줄게 그럼 되는거지?"
97,97,직장 내 괴롭힘 대화,"야 김사원 너 오늘 표정안좋다?
그러게 너는 일이 익숙치가 않아서 그런거잖아. 숙련도가 떨어진다고 이새끼야.
죄송하면 일을 더 열심히 해야지. 피해끼쳐 되겠어?
앞으로 더 노력하겠습니다.
다른 사람한테도 꾸중 듣고 너도 보통 능력없는 새끼가 아니네."
98,98,협박 대화,"역시 가족이 있어야 오는건가?
당연하지 얼굴보기 꽤나 힘든데 이렇게라도 볼 수 있어서 얼마나 좋아.
살려줄게 살려주는 대신에 한 명에 니 장기 하나 어때?
가족들이 죽는걸 눈으로 지켜볼거야?
아이고. 그럼 니 장기 가져가게 마 취주사부터 맞자."
99,99,협박 대화," 영상 조회수가 몇인데 내리라 마라야?
 너가 그때 동의한 거 잊었어?
 개인정보 동의서 찾아보면 되겠네. 이 영상의 저작권이 누구한테 있는지 한번 따져보자고.
 너 내 뒷조사 했니?
 소름돋는다 정말"
100,100,갈취 대화,"어이 초딩. 이리 와봐
 이리와보라고 자식아. 죽고싶냐
 확! 죽을래? 조용히 이리 안와?
 돈 얼마있어. 다 내놔봐.
 씨발. 죽을래. 너 어디살아. 가진거 다 내놔봐.
 산에 가서 확 묻어버리기 전에 호주머니에 있는거 다 내놔"
101,101,직장 내 괴롭힘 대화,"김사원 이리 와보게
도대체 옷이 그게 무슨 일이야?
아니 회사에 출근할 때에는 이런 옷 못 입는 거 모르나?
캐주얼 데이라고 하더라도 회사 출근인데 너무 심하게 편한 거 아닌가?
정신차려 여기는 회사야!"
102,102,협박 대화,"잘지냈지 그동안 장기 잘 보관하고 있었겠지?
머 갑자기 여기를 나간다고 너 미쳤어?
그래? 그럼 너 들어올 때 했던 말 기억하지? 나갈 땐 걸어서 못나간다고.
싫어 난 안갈거야 여기서 널 죽일거야.
우리한테 사람답게 사는 일은 더 이상 없어 그러고 싶음 죽어 총 줄테니까 자결해"
103,103,기타 괴롭힘 대화,"야 니 도시락에 닭다리 내놔
야 우리 형제같은 친구아니냐 새끼야 괜히 피곤하게 하지말고 하나만 줘
와 잘먹었다 하나만 더 줘봐
지금 대드는 거야?
까불지마"
104,104,직장 내 괴롭힘 대화,"김사원! 커피 한 잔.
김사원 표정이 그게 뭔가? 상사가 업무지시를 하면 웃으면서 대답도 똑 부러지게 해야지.
요즘 젊은 친구들은 왜 이렇게 회사생활을 못하는지 모르겠어. 요즘 젊은 얘들은 버릇이 없어요 버릇이! 쯧쯧.
어휴 나 때는 말이야 상사가 커피 좀 부탁하면 방긋방긋 웃으면서 타오고 그랬어! 근데 김사원은 뭔가?
이것 봐. 김사원은 대답도 똑바로 못하나? 그렇게 어리버리하니까 사회생활을 못하지. 업무가 마음에 들기를 하나? 아니면 싹싹하게 굴기를 잘하나? 그러니까 입사한지 5년이 넘도록 평사원이지!"
105,105,기타 괴롭힘 대화,"야 넌 왜 말이 항상 어눌하냐?
뭘 놀린다고.사실을 얘기하는건데 크크
난 안어눌해 
크크 따라하지마
애기처럼 징징거리기나 하고 얼레리꼴레리"
106,106,협박 대화,"차 안빼면 도끼로 찍어버린다
열받게 하지말고 시키는대로해
말 같지도 않은 소리 말고 죽기 싫으면 빼라
말장난 하지말고 내눈 앞에 차 치워
쇠사슬로 영원히 묶어버리는 수가 있어"
107,107,갈취 대화,"이 사진을 봐.
나한테 당장 100만원 보내.
그렇지 않으면 이 사진 다른 사람한테 다 뿌릴거야.
무서우면 얼른 돈 보내.
돈 내놔. 안그러면 평생 지옥이 될거야."
108,108,갈취 대화,"여기에 지장 찍으라고.
내가 오늘 기분이 좀 안좋아서. 맞고 찍을래? 그냥 찍을래?
아 그러셔? 그럼 맞고 지장 찍자.
아니 맞는걸로 끝내려했는데 그냥 오늘 죽을래?
이게 정신을 차리네."
109,109,갈취 대화,"이봐요 아저씨. 잠깐 서 봐요.
내가 배가 고픈데 지금 수중에 돈이 다 떨어져서 말이야.
아저씨 돈 좀 있어요? 
아이씨. 현금도 안 들고 다녀요. 그럼 저기 기에서 돈 좀 뽑아와요.
편의점 기에서 돈 뽑아오면 되잖아!"
110,110,직장 내 괴롭힘 대화," 아 그거 제가 일이 많아서 대신 좀 부탁해
 내가 지금 일이 많다고.
 아니 상사가 바쁘다는데 이런 잡일 좀 대신 해주는 게 어려워?
 뭐? 지금 나랑 싸우자는거야? 어디서 말대꾸야! 하라면 해!
 빨리 처리해서 오늘 오후까지 정리해놔"
111,111,기타 괴롭힘 대화," 오늘 머리는 감고왔냐?
 이새끼가! 너 죽고싶어 환장했냐?
 니 친구는 잘아네. 나 건드려봤자 좋을거 없으니 갈길가라.
 걱정마. 너같은 새끼 때문에 엄마가 데리러 오실거다.
 야 참아참아. 가자. 얘랑 얽혀서 좋을거 없어."
112,112,직장 내 괴롭힘 대화,"어우 정대리 이번에도 참 글래머 스럽게 입고왔네
뭐 내가 틀린말 했어?
아니 이쁜걸 이쁘다고 하지 그런 소릴 듣고 싶지 않으면 꾸미지를 말던가
아니 이 새끼 봐라 나한테 감히 대들어?"
113,113,기타 괴롭힘 대화,"아니 감자가 왜이렇게짜!
감자가 너무 짜다고 감자가 아니라 소금이야
아니 고객이 소금이라면 소금이지 무슨 말이많아?
그게 아니면 뭐야? 여기 직원 태도가 왜 이따위야 사장나오라그래
손님이 왕인거 몰라??
에이씨 너나 먹어 소금같은 감자"
114,114,기타 괴롭힘 대화,"너 일로 따라와봐.
그냥 닥치고 따라오라면 따라와 진짜
너 잘보니까 국어쌤이랑 닮았다? 너?
나 아까 국어쌤한테 불려가서 혼난거 알아 몰라. 화풀이상대가 여깄구만!
뭐? 하지말라고? 벙어리가 말도 하네?
뭐? 할 수 있음 해보시던가 그냥 짜지고 살라고 학교에서"
115,115,직장 내 괴롭힘 대화,"거기 김대리. 나랑 잠깐 얘기 좀 해.
자기 요새 회사 내에 안좋은 소문 돌고 있는거 알고 있어?
아니. 당사자가 모르면 안 되지.
뻔뻔하네. 아주 철판을 까세요.
몰라서 물어? 양심은 있니?"
116,116,기타 괴롭힘 대화,"헐 대박 뭐야 진짜? 쟤는 그러면 장애인 엄마가 해주는 밥 먹고 다니는거야?
아 아니야우리 엄마 냄새 안나
아니야! 진짜 냄새 안난다고 그냥 너희랑 똑같은 밥 먹은거야
흥 그니까말이야 어딜 니가 우리랑 같아지려고하니? 니 엄만 장애인이야
울보래요 울보래요"
117,117,기타 괴롭힘 대화,"야 장애인새끼? 팔병신이 밖에 돌아다니면 안되지.
 뭐래 이자식이? 팔다친주제에. 다른 팔도 부러뜨려줘?
 공부만 하면 뭐해. 팔이 하나 나갔는데. 이새끼는 나중에 딸도못쳐.
 아 그러세요? 그러면 왼손도 아작내드려요?
 적어도 너꺼보단 나아. 개병신아."
118,118,갈취 대화,"야 너 이리와봐
니 말고 또 누구 있냐? 오라면 와
야 가진 거 다 내놔 봐
신발 좋은 거 신었는데? 뒤져서 나오면 넌 죽는 거야
얼마 있냐?"
119,119,협박 대화,"인스티지 너냐?
글내려라 생각이 있냐? 너도 죽어
야 장난하지말고 내리라고 죽고싶냐
너 때문에 손해배상 청구할거니까 입 다물고 내려라
얘 아직도 정신 못차렸네 그냥 내리라고 죽고싶냐 진짜"
120,120,기타 괴롭힘 대화,"뭐 주문하실거죠?
 왜 이리 안나와
 지금 시간 안보여요
 빨리줘요. 여긴 서비스가 엉망이네
 왜 이리 늦어. 빨리 안줘요."
121,121,갈취 대화,"있는 돈 다 내놔! 아님 다 쏴버린다!
너! 당장 돈 가져와.
그래 너 이새끼야. 말 못 알아처먹어? 너 먼저 죽을래?
이것들이. 다 죽고싶어? 뭘 꼬라봐!
어쭈? 말대꾸냐? 네가 그렇게 잘났으면 가방 좀 털어보자. 십만원 이상 안나오면 죽는다."
122,122,기타 괴롭힘 대화,"어머 도윤아 더 예뻐졌네?
뭐야 진짠줄 아는거야?
참나 지가 이쁜줄아나봐 ? 꼴에
얘 너 못생겼어 정도를 알아
알면 가만히있어"
123,123,갈취 대화,"엄마 나도 바람막이 하나 사줘
무슨 삼만원이야 엄마는 도데체 언제적 이야기를 하는거야 엄마랑 이야기싫다고 자꾸 이러니까
아 30은 줘야 입을만한거 사
아진짜 짜증나고 구질구질하게
미안해하지말고 엄마 손에 끼고 있는 반지라도 줘봐
엄마 외할머니는 돌아가신지 20년됐고 이제는 산사람 보고 살아야지 언제까지 붙잡고 있을거야 그거 안주며 나 콱 차도에 뛰어든다 그러면 좋겠어? 엄마가 외할머니 반지 애끼다가 내가 골로 갔으면 좋겠냐고"
124,124,협박 대화,"야. 너 니 친구 어디로 튀었는지 불어.
아니 요즘 청소년들은 간이 배 밖에 나왔나? 편의점에서 담배 훔치는 건 어디서 배웠어?
방금 내가 코너 돌기 전에 친구랑 수신호 하는 거 봤어. 제대로 불어. 안 불면 너 다리 분질러 버릴테니까.
너 다리 부러뜨리겠다고!! 아주 그냥 이것들이 미쳐서!
아니 너 친구어디로 뛰어갔는지 말해. 안 얘기하면 너 팰거야!"
125,125,기타 괴롭힘 대화,"아니 하필 출근시간에 사람도 많은데 다음버스타면 안돼요?
그럼 사람들 다타면 마지막에 타세요
다리 내릴테니깐 빨리 타세요.
아 정류장에 차많이 밀려있는데 그냥 도로에 내려드릴게요
에이. 진짜 바빠죽겠는데 귀찮아 죽겠네 장애면 집에나 있지."
